index,CustomerID,Recency,Frequency,Monetary,Cluster
0,12346,325,1,77183.6,3
1,12347,1,6,3598.21,2
2,12348,74,3,904.44,6
3,12349,18,1,1757.55,2
4,12350,309,1,334.40000000000003,3
5,12352,35,8,2506.04,2
6,12353,203,1,89.0,5
7,12354,231,1,1079.4,5
8,12355,213,1,459.40000000000003,5
9,12356,22,3,2811.43,2
10,12357,32,1,6207.67,2
11,12358,1,2,1168.06,2
12,12359,57,4,6301.63,6
13,12360,51,3,2662.06,6
14,12361,286,1,189.9,3
15,12362,2,10,5226.2300000000005,2
16,12363,109,2,552.0,1
17,12364,7,4,1313.1,2
18,12365,290,2,641.38,3
19,12367,3,1,168.9,2
20,12370,50,2,1677.67,6
21,12371,44,2,1887.96,6
22,12372,71,3,1298.04,6
23,12373,310,1,364.6,3
24,12374,24,1,742.9300000000001,2
25,12375,10,2,457.5,2
26,12377,314,1,626.6,3
27,12378,129,1,4008.62,1
28,12379,81,2,852.24,6
29,12380,21,4,2724.81,2
30,12381,4,5,1845.31,2
31,12383,184,4,1249.84,5
32,12384,28,2,585.27,2
33,12386,337,1,143.0,3
34,12388,15,6,2780.6600000000003,2
35,12390,79,1,549.84,6
36,12391,21,1,439.66,2
37,12393,71,4,1582.6000000000001,6
38,12394,63,2,1272.48,6
39,12395,18,10,2338.71,2
40,12397,35,2,2409.9,2
41,12398,45,1,1635.6599999999999,6
42,12399,118,4,1108.65,1
43,12401,302,1,84.3,3
44,12402,322,1,225.60000000000002,3
45,12403,49,1,427.7,6
46,12405,148,1,1710.39,1
47,12406,21,2,3415.3,2
48,12407,49,5,1708.12,6
49,12408,32,5,2888.55,2
50,12409,78,3,11072.67,6
51,12410,308,2,693.33,3
52,12412,74,3,1226.88,6
53,12413,66,3,758.1,6
54,12414,216,3,562.4100000000001,5
55,12415,23,21,124914.53,4
56,12417,2,8,3357.76,2
57,12418,112,1,668.58,1
58,12420,63,1,600.39,6
59,12421,15,4,807.04,2
60,12422,95,3,803.5600000000001,6
61,12423,0,7,1621.38,2
62,12424,162,2,1760.96,1
63,12425,77,1,777.2,6
64,12426,194,1,582.73,5
65,12427,21,2,522.3,2
66,12428,25,9,7956.46,2
67,12429,8,3,2468.9,2
68,12430,42,1,256.4,6
69,12431,35,13,5713.5,2
70,12432,42,5,5059.32,6
71,12433,0,5,9588.75,2
72,12434,84,2,806.14,6
73,12435,79,2,7829.89,6
74,12436,99,1,509.01,1
75,12437,1,18,4951.41,2
76,12438,13,2,2906.85,2
77,12442,2,1,172.06,2
78,12444,20,5,5005.46,2
79,12445,21,1,133.4,2
80,12446,57,1,1002.3100000000001,6
81,12447,242,1,476.49,5
82,12448,43,1,449.45,6
83,12449,21,4,4067.29,2
84,12450,155,2,197.88,1
85,12451,10,5,9035.52,2
86,12452,16,2,430.57000000000005,2
87,12453,133,1,707.09,1
88,12454,55,1,3528.34,6
89,12455,72,6,2466.86,6
90,12456,43,3,3181.04,6
91,12457,65,7,2363.23,6
92,12458,70,2,947.4,6
93,12461,93,2,826.88,6
94,12462,18,2,1189.59,2
95,12463,52,4,1344.78,6
96,12464,9,8,1212.05,2
97,12465,16,2,742.19,2
98,12468,187,2,729.54,5
99,12471,1,26,15949.69,2
100,12472,31,6,4940.81,2
101,12473,28,5,3928.05,2
102,12474,16,18,7324.09,2
103,12475,53,1,723.38,6
104,12476,15,10,6803.97,2
105,12477,22,6,13219.74,2
106,12478,3,1,680.99,2
107,12479,10,1,527.2,2
108,12480,27,4,3281.63,2
109,12481,22,8,4788.48,2
110,12483,16,8,2484.98,2
111,12484,32,6,4527.32,2
112,12488,9,3,1298.66,2
113,12489,335,1,334.93,3
114,12490,4,10,5417.93,2
115,12491,38,1,460.40000000000003,2
116,12492,62,2,263.21000000000004,6
117,12493,165,2,433.74,1
118,12494,15,5,1183.55,2
119,12497,81,1,1043.1,6
120,12498,20,3,403.70000000000005,2
121,12500,22,11,4257.82,2
122,12501,336,1,2169.39,3
123,12502,95,5,3723.87,6
124,12504,17,2,482.04999999999995,2
125,12506,232,1,73.5,5
126,12507,133,3,1304.81,1
127,12508,25,2,397.88,2
128,12509,283,1,176.5,3
129,12510,142,2,982.5699999999999,1
130,12512,65,2,132.18,6
131,12513,112,1,612.29,1
132,12514,266,1,1017.6800000000001,3
133,12516,77,2,1312.06,6
134,12517,27,5,2481.6,2
135,12518,0,5,2056.89,2
136,12519,63,1,330.84000000000003,6
137,12520,78,5,2634.26,6
138,12521,142,1,599.68,1
139,12522,38,2,192.72,2
140,12523,18,11,1789.77,2
141,12524,8,8,4485.72,2
142,12526,0,3,1316.66,2
143,12527,81,3,348.71000000000004,6
144,12528,8,6,1933.48,2
145,12530,59,4,1662.28,6
146,12531,14,1,125.22,2
147,12532,29,1,349.83000000000004,2
148,12534,130,1,1089.18,1
149,12535,91,2,716.35,6
150,12536,42,3,12601.830000000002,6
151,12538,28,1,363.95,2
152,12539,21,4,5568.35,2
153,12540,19,16,12519.23,2
154,12541,29,3,981.18,2
155,12544,35,1,372.7,2
156,12545,74,2,1000.39,6
157,12546,46,2,1161.5,6
158,12547,197,2,207.8,5
159,12548,165,1,95.19999999999999,1
160,12550,78,1,964.83,6
161,12552,38,2,437.82,2
162,12553,7,10,3692.28,2
163,12556,49,2,599.56,6
164,12557,15,4,11370.960000000001,2
165,12558,7,1,269.96,2
166,12559,310,2,561.71,3
167,12560,4,3,2134.01,2
168,12561,302,1,238.85,3
169,12562,7,7,3781.7400000000002,2
170,12564,260,1,456.90000000000003,3
171,12565,288,1,145.92000000000002,3
172,12566,85,1,351.65,6
173,12567,22,8,7458.9,2
