CustomerID,Recency,Frequency,Monetary,Cluster
12346,325,1,77183.6,3
12347,1,6,3598.21,2
12348,74,3,904.44,6
12349,18,1,1757.55,2
12350,309,1,334.40000000000003,3
12352,35,8,2506.04,2
12353,203,1,89.0,5
12354,231,1,1079.4,5
12355,213,1,459.40000000000003,5
12356,22,3,2811.43,2
12357,32,1,6207.67,2
12358,1,2,1168.06,2
12359,57,4,6301.63,6
12360,51,3,2662.06,6
12361,286,1,189.9,3
12362,2,10,5226.2300000000005,2
12363,109,2,552.0,1
12364,7,4,1313.1,2
12365,290,2,641.38,3
12367,3,1,168.9,2
12370,50,2,1677.67,6
12371,44,2,1887.96,6
12372,71,3,1298.04,6
12373,310,1,364.6,3
12374,24,1,742.9300000000001,2
12375,10,2,457.5,2
12377,314,1,626.6,3
12378,129,1,4008.62,1
12379,81,2,852.24,6
12380,21,4,2724.81,2
12381,4,5,1845.31,2
12383,184,4,1249.84,5
12384,28,2,585.27,2
12386,337,1,143.0,3
12388,15,6,2780.6600000000003,2
12390,79,1,549.84,6
12391,21,1,439.66,2
12393,71,4,1582.6000000000001,6
12394,63,2,1272.48,6
12395,18,10,2338.71,2
12397,35,2,2409.9,2
12398,45,1,1635.6599999999999,6
12399,118,4,1108.65,1
12401,302,1,84.3,3
12402,322,1,225.60000000000002,3
12403,49,1,427.7,6
12405,148,1,1710.39,1
12406,21,2,3415.3,2
12407,49,5,1708.12,6
12408,32,5,2888.55,2
12409,78,3,11072.67,6
12410,308,2,693.33,3
12412,74,3,1226.88,6
12413,66,3,758.1,6
12414,216,3,562.4100000000001,5
12415,23,21,124914.53,4
12417,2,8,3357.76,2
12418,112,1,668.58,1
12420,63,1,600.39,6
12421,15,4,807.04,2
12422,95,3,803.5600000000001,6
12423,0,7,1621.38,2
12424,162,2,1760.96,1
12425,77,1,777.2,6
12426,194,1,582.73,5
12427,21,2,522.3,2
12428,25,9,7956.46,2
12429,8,3,2468.9,2
12430,42,1,256.4,6
12431,35,13,5713.5,2
12432,42,5,5059.32,6
12433,0,5,9588.75,2
12434,84,2,806.14,6
12435,79,2,7829.89,6
12436,99,1,509.01,1
12437,1,18,4951.41,2
12438,13,2,2906.85,2
12442,2,1,172.06,2
12444,20,5,5005.46,2
12445,21,1,133.4,2
12446,57,1,1002.3100000000001,6
12447,242,1,476.49,5
12448,43,1,449.45,6
12449,21,4,4067.29,2
12450,155,2,197.88,1
12451,10,5,9035.52,2
12452,16,2,430.57000000000005,2
12453,133,1,707.09,1
12454,55,1,3528.34,6
12455,72,6,2466.86,6
12456,43,3,3181.04,6
12457,65,7,2363.23,6
12458,70,2,947.4,6
12461,93,2,826.88,6
12462,18,2,1189.59,2
12463,52,4,1344.78,6
12464,9,8,1212.05,2
12465,16,2,742.19,2
12468,187,2,729.54,5
12471,1,26,15949.69,2
12472,31,6,4940.81,2
12473,28,5,3928.05,2
12474,16,18,7324.09,2
12475,53,1,723.38,6
12476,15,10,6803.97,2
12477,22,6,13219.74,2
12478,3,1,680.99,2
12479,10,1,527.2,2
12480,27,4,3281.63,2
12481,22,8,4788.48,2
12483,16,8,2484.98,2
12484,32,6,4527.32,2
12488,9,3,1298.66,2
12489,335,1,334.93,3
12490,4,10,5417.93,2
12491,38,1,460.40000000000003,2
12492,62,2,263.21000000000004,6
12493,165,2,433.74,1
12494,15,5,1183.55,2
12497,81,1,1043.1,6
12498,20,3,403.70000000000005,2
12500,22,11,4257.82,2
12501,336,1,2169.39,3
12502,95,5,3723.87,6
12504,17,2,482.04999999999995,2
12506,232,1,73.5,5
12507,133,3,1304.81,1
12508,25,2,397.88,2
12509,283,1,176.5,3
12510,142,2,982.5699999999999,1
12512,65,2,132.18,6
12513,112,1,612.29,1
12514,266,1,1017.6800000000001,3
12516,77,2,1312.06,6
12517,27,5,2481.6,2
12518,0,5,2056.89,2
12519,63,1,330.84000000000003,6
12520,78,5,2634.26,6
12521,142,1,599.68,1
12522,38,2,192.72,2
12523,18,11,1789.77,2
12524,8,8,4485.72,2
12526,0,3,1316.66,2
12527,81,3,348.71000000000004,6
12528,8,6,1933.48,2
12530,59,4,1662.28,6
12531,14,1,125.22,2
12532,29,1,349.83000000000004,2
12534,130,1,1089.18,1
12535,91,2,716.35,6
12536,42,3,12601.830000000002,6
12538,28,1,363.95,2
12539,21,4,5568.35,2
12540,19,16,12519.23,2
12541,29,3,981.18,2
12544,35,1,372.7,2
12545,74,2,1000.39,6
12546,46,2,1161.5,6
12547,197,2,207.8,5
12548,165,1,95.19999999999999,1
12550,78,1,964.83,6
12552,38,2,437.82,2
12553,7,10,3692.28,2
12556,49,2,599.56,6
12557,15,4,11370.960000000001,2
12558,7,1,269.96,2
12559,310,2,561.71,3
12560,4,3,2134.01,2
12561,302,1,238.85,3
12562,7,7,3781.7400000000002,2
12564,260,1,456.90000000000003,3
12565,288,1,145.92000000000002,3
12566,85,1,351.65,6
12567,22,8,7458.9,2
12569,1,32,4124.6900000000005,2
12571,39,2,519.61,2
12572,8,2,1020.4200000000001,2
12573,226,1,160.54000000000002,5
12574,315,1,218.45000000000002,3
12576,35,5,1315.83,2
12577,34,2,430.71,2
12578,20,2,2794.51,2
12579,77,1,440.42,6
12580,246,1,415.7,5
12581,39,1,197.71,2
12582,238,2,511.36,5
12583,2,14,6425.52,2
12584,3,9,2338.15,2
12585,233,1,777.25,5
12586,16,1,196.94000000000003,2
12587,7,1,144.0,2
12588,38,1,214.89999999999998,2
12589,28,2,646.68,2
12590,210,2,9864.26,5
12591,316,1,452.84999999999997,3
12592,91,2,437.6,6
12593,108,3,418.1,1
12594,37,10,3338.2200000000003,2
12596,50,2,618.27,6
12597,18,4,3811.22,2
12598,9,8,3023.08,2
12599,28,7,1032.58,2
12600,28,8,2324.24,2
12601,189,5,577.0600000000001,5
12602,58,1,153.12,6
12603,21,1,739.1999999999999,2
12604,78,2,254.18,6
12607,59,1,1579.51,6
12609,77,3,1126.85,6
12610,22,5,2099.54,2
12611,51,1,1193.32,6
12612,73,1,704.04,6
12613,56,5,3344.38,6
12614,277,1,315.6,3
12615,1,4,2291.19,2
12616,94,2,713.3,6
12617,28,1,352.98,2
12618,21,1,177.31,2
12619,15,9,3641.24,2
12620,14,3,1339.41,2
12621,1,18,12306.02,2
12622,231,1,180.1,5
12623,275,1,305.1,3
12624,105,2,641.13,1
12625,211,2,2683.82,5
