CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segments
12346,325,1,77183.6,1,1,5,115,Can’t Lose Them
12347,1,6,3598.21,5,5,5,555,Champions
12348,74,3,904.44,2,3,3,233,Needing Attention
12349,18,1,1757.55,4,1,4,414,Promising
12350,309,1,334.40000000000003,1,1,2,112,Lost Customers
12352,35,8,2506.04,3,5,5,355,Loyal Customers
12353,203,1,89.0,1,1,1,111,Lost Customers
12354,231,1,1079.4,1,1,4,114,Can’t Lose Them
12355,213,1,459.40000000000003,1,1,2,112,Lost Customers
12356,22,3,2811.43,4,3,5,435,Promising
12357,32,1,6207.67,3,1,5,315,Promising
12358,1,2,1168.06,5,2,4,524,Potential Loyalist
12359,57,4,6301.63,3,4,5,345,Loyal Customers
12360,51,3,2662.06,3,3,5,335,Loyal Customers
12361,286,1,189.9,1,1,1,111,Lost Customers
12362,2,10,5226.2300000000005,5,5,5,555,Champions
12363,109,2,552.0,2,2,3,223,At Risk
12364,7,4,1313.1,5,4,4,544,Loyal Customers
12365,290,2,641.38,1,2,3,123,Hibernating
12367,3,1,168.9,5,1,1,511,Recent Customers
12370,50,2,1677.67,3,2,4,324,Promising
12371,44,2,1887.96,3,2,4,324,Promising
12372,71,3,1298.04,2,3,4,234,Can’t Lose Them
12373,310,1,364.6,1,1,2,112,Lost Customers
12374,24,1,742.9300000000001,4,1,3,413,Promising
12375,10,2,457.5,5,2,2,522,Recent Customers
12377,314,1,626.6,1,1,3,113,Hibernating
12378,129,1,4008.62,2,1,5,215,Can’t Lose Them
12379,81,2,852.24,2,2,3,223,At Risk
12380,21,4,2724.81,4,4,5,445,Loyal Customers
12381,4,5,1845.31,5,4,4,544,Loyal Customers
12383,184,4,1249.84,1,4,4,144,Can’t Lose Them
12384,28,2,585.27,4,2,3,423,Potential Loyalist
12386,337,1,143.0,1,1,1,111,Lost Customers
12388,15,6,2780.6600000000003,4,5,5,455,Loyal Customers
12390,79,1,549.84,2,1,3,213,About to Sleep
12391,21,1,439.66,4,1,2,412,Recent Customers
12393,71,4,1582.6000000000001,2,4,4,244,Can’t Lose Them
12394,63,2,1272.48,3,2,4,324,Promising
12395,18,10,2338.71,4,5,5,455,Loyal Customers
12397,35,2,2409.9,3,2,5,325,Promising
12398,45,1,1635.6599999999999,3,1,4,314,Needing Attention
12399,118,4,1108.65,2,4,4,244,Can’t Lose Them
12401,302,1,84.3,1,1,1,111,Lost Customers
12402,322,1,225.60000000000002,1,1,1,111,Lost Customers
12403,49,1,427.7,3,1,2,312,About to Sleep
12405,148,1,1710.39,2,1,4,214,Can’t Lose Them
12406,21,2,3415.3,4,2,5,425,Promising
12407,49,5,1708.12,3,4,4,344,Loyal Customers
12408,32,5,2888.55,3,4,5,345,Loyal Customers
12409,78,3,11072.67,2,3,5,235,Can’t Lose Them
12410,308,2,693.33,1,2,3,123,Hibernating
12412,74,3,1226.88,2,3,4,234,Can’t Lose Them
12413,66,3,758.1,3,3,3,333,Others
12414,216,3,562.4100000000001,1,3,3,133,At Risk
12415,23,21,124914.53,4,5,5,455,Loyal Customers
12417,2,8,3357.76,5,5,5,555,Champions
12418,112,1,668.58,2,1,3,213,About to Sleep
12420,63,1,600.39,3,1,3,313,Needing Attention
12421,15,4,807.04,4,4,3,443,Potential Loyalist
12422,95,3,803.5600000000001,2,3,3,233,Needing Attention
12423,0,7,1621.38,5,5,4,554,Champions
12424,162,2,1760.96,2,2,4,224,Can’t Lose Them
12425,77,1,777.2,2,1,3,213,About to Sleep
12426,194,1,582.73,1,1,3,113,Hibernating
12427,21,2,522.3,4,2,3,423,Potential Loyalist
12428,25,9,7956.46,4,5,5,455,Loyal Customers
12429,8,3,2468.9,5,3,5,535,Loyal Customers
