,CustomerID,Recency,Frequency,Monetary,Cluster
0,12346,325,1,77183.6,6
1,12347,1,6,3598.21,1
2,12348,74,3,904.44,4
3,12349,18,1,1757.55,1
4,12350,309,1,334.40000000000003,6
5,12352,35,8,2506.04,1
6,12353,203,1,89.0,2
7,12354,231,1,1079.4,2
8,12355,213,1,459.40000000000003,2
9,12356,22,3,2811.43,1
10,12357,32,1,6207.67,1
11,12358,1,2,1168.06,1
12,12359,57,4,6301.63,4
13,12360,51,3,2662.06,4
14,12361,286,1,189.9,6
15,12362,2,10,5226.2300000000005,1
16,12363,109,2,552.0,3
17,12364,7,4,1313.1,1
18,12365,290,2,641.38,6
19,12367,3,1,168.9,1
20,12370,50,2,1677.67,4
21,12371,44,2,1887.96,4
22,12372,71,3,1298.04,4
23,12373,310,1,364.6,6
24,12374,24,1,742.9300000000001,1
25,12375,10,2,457.5,1
26,12377,314,1,626.6,6
27,12378,129,1,4008.62,3
28,12379,81,2,852.24,4
29,12380,21,4,2724.81,1
30,12381,4,5,1845.31,1
31,12383,184,4,1249.84,2
32,12384,28,2,585.27,1
33,12386,337,1,143.0,6
34,12388,15,6,2780.6600000000003,1
35,12390,79,1,549.84,4
36,12391,21,1,439.66,1
37,12393,71,4,1582.6000000000001,4
38,12394,63,2,1272.48,4
39,12395,18,10,2338.71,1
40,12397,35,2,2409.9,1
41,12398,45,1,1635.6599999999999,4
42,12399,118,4,1108.65,3
43,12401,302,1,84.3,6
44,12402,322,1,225.60000000000002,6
45,12403,49,1,427.7,4
46,12405,148,1,1710.39,3
47,12406,21,2,3415.3,1
48,12407,49,5,1708.12,4
49,12408,32,5,2888.55,1
50,12409,78,3,11072.67,4
51,12410,308,2,693.33,6
52,12412,74,3,1226.88,4
53,12413,66,3,758.1,4
54,12414,216,3,562.4100000000001,2
55,12415,23,21,124914.53,5
56,12417,2,8,3357.76,1
57,12418,112,1,668.58,3
58,12420,63,1,600.39,4
59,12421,15,4,807.04,1
60,12422,95,3,803.5600000000001,4
61,12423,0,7,1621.38,1
62,12424,162,2,1760.96,3
63,12425,77,1,777.2,4
64,12426,194,1,582.73,2
65,12427,21,2,522.3,1
66,12428,25,9,7956.46,1
67,12429,8,3,2468.9,1
68,12430,42,1,256.4,4
69,12431,35,13,5713.5,1
70,12432,42,5,5059.32,4
71,12433,0,5,9588.75,1
72,12434,84,2,806.14,4
73,12435,79,2,7829.89,4
74,12436,99,1,509.01,4
75,12437,1,18,4951.41,1
76,12438,13,2,2906.85,1
77,12442,2,1,172.06,1
78,12444,20,5,5005.46,1
79,12445,21,1,133.4,1
80,12446,57,1,1002.3100000000001,4
81,12447,242,1,476.49,2
82,12448,43,1,449.45,4
83,12449,21,4,4067.29,1
84,12450,155,2,197.88,3
85,12451,10,5,9035.52,1
86,12452,16,2,430.57000000000005,1
87,12453,133,1,707.09,3
88,12454,55,1,3528.34,4
89,12455,72,6,2466.86,4
90,12456,43,3,3181.04,4
91,12457,65,7,2363.23,4
92,12458,70,2,947.4,4
93,12461,93,2,826.88,4
94,12462,18,2,1189.59,1
95,12463,52,4,1344.78,4
96,12464,9,8,1212.05,1
97,12465,16,2,742.19,1
98,12468,187,2,729.54,2
99,12471,1,26,15949.69,1
100,12472,31,6,4940.81,1
101,12473,28,5,3928.05,1
102,12474,16,18,7324.09,1
103,12475,53,1,723.38,4
104,12476,15,10,6803.97,1
105,12477,22,6,13219.74,1
106,12478,3,1,680.99,1
107,12479,10,1,527.2,1
108,12480,27,4,3281.63,1
109,12481,22,8,4788.48,1
110,12483,16,8,2484.98,1
111,12484,32,6,4527.32,1
112,12488,9,3,1298.66,1
113,12489,335,1,334.93,6
114,12490,4,10,5417.93,1
115,12491,38,1,460.40000000000003,1
116,12492,62,2,263.21000000000004,4
117,12493,165,2,433.74,3
118,12494,15,5,1183.55,1
119,12497,81,1,1043.1,4
120,12498,20,3,403.70000000000005,1
121,12500,22,11,4257.82,1
122,12501,336,1,2169.39,6
123,12502,95,5,3723.87,4
124,12504,17,2,482.04999999999995,1
125,12506,232,1,73.5,2
126,12507,133,3,1304.81,3
127,12508,25,2,397.88,1
128,12509,283,1,176.5,6
129,12510,142,2,982.5699999999999,3
130,12512,65,2,132.18,4
131,12513,112,1,612.29,3
132,12514,266,1,1017.6800000000001,6
133,12516,77,2,1312.06,4
134,12517,27,5,2481.6,1
135,12518,0,5,2056.89,1
136,12519,63,1,330.84000000000003,4
137,12520,78,5,2634.26,4
138,12521,142,1,599.68,3
139,12522,38,2,192.72,1
140,12523,18,11,1789.77,1
141,12524,8,8,4485.72,1
142,12526,0,3,1316.66,1
143,12527,81,3,348.71000000000004,4
144,12528,8,6,1933.48,1
